001;Account
003;Contact
005;User
006;Opportunity
007;Activity
00D;Organization
00e;Profile
00h;Page Layout
00K;OpportunityContactRole
00Q;Lead
012;RecordType
013;RecordTypePicklist
0H4;ConnectedApplication
0JT;JobTracker
0JU;UserListViewCriterion
0JV;PlatformAction
0JW;SetupNode
0JX;SetupCustomNode
0JY;MacroAction
1uu;RegisteredExternalService
0JZ;Macro
0Ja;ReadOnlyOauthToken
0Jb;ReadOnlyOauthTokenScope
0Jd;ForecastingCategoryMapping
0Je;UserProvisioningConfig
0Jf;DomainSite
0Jg;ForecastingTypeToCategory
0Ji;MacroInstruction
0Jj;CopySuspension
0Jk;ReadOnlySecurityToken
0Jl;ReadOnlyLoginIp
0Jm;ReadOnlyLoginIpEmail
0Jn;PlatformActionList
0Jo;PlatformActionListItem
0Jp;ReadOnlyClientBrowser
0Jq;SCSInboundSettings
0Jr;ThirdPartyAccountLink
0Js;SkinnyIndex
0Jt;SkinnyIndexColumn
0Ju;RelationshipInfo
0Jv;RelationshipDomain
0Jy;StandardAction
0Jz;TodayGoal
0K0;ActionKnowledgeSubmit
0K2;ActionChatterPost
0K3;ActionChatterPostRecipient
0K4;SamplingStrategy
0K6;SampledEntity
0K7;StorageConfigAuditTrail
0K9;QueueRoutingConfig
0KA;UserConfigTransferSkill
0KB;UserConfigTransferButton
0KD;TabDefinition
0KG;SqlIdToRequestMap
0KM;InstalledSubscriberPackageVersion
0KO;SecurityHealthCheckRisks
0KP;PresenceConfigDeclineReason
0KR;PresenceDeclineReason
0KY;StandardValueSet
0KZ;ReportInstanceQuery
0Ka;SurveyEmailBranding
0Kb;SyncTransactionLog
0Kc;SurveyQuestionChoice
0Kd;Survey
0Ke;SurveyPage
0Kg;TwoFactorMethodsInfo
0Kh;FormulaFunctionCategory
0Ki;SurveyInvitation
0Km;CustomAppMetrics
0Kn;FormulaFunction
0Ko;GlobalVariable
0Kp;TwoFactorMethodsInfoLocal
0Kq;LoginFlow
0Kr;SurveyQuestionResponse
0Ks;SurveyVersion
0Kt;AssociatedLocation
0Ku;SurveyQuestion
0Kz;ResourcePreference
0L2;TenantPlatformLicense
0L3;TenantUserLicense
0L4;TenantEditionLicense
0L5;TenantAddOnLicense
0LC;TenantLicensingRequest
0LD;RecalcCampaignStats
0LE;SamlSsoConfig
0LG;ReportInstance
0LH;SocialKeyJobLog
0LI;SocialKeyEntityErrorLog
0LJ;ModerationRule
0LM;KeywordList
0LN;StorageSizeJob
0LO;SetupAssistantAnswer
0LV;UserCriteria
0Lc;LicensedCustomPermission
0Ld;LicenseDefinition
0Le;ExternalServiceRegistration
0Lf;UserFeedChannel
